DATE,USALORSGPNOSTSAM,PCE_CHG,INDPRO_CHG,UNRATE_CHG,RSXFS_CHG,WPSID611_CHG,TTLCONS_CHG,FEDFUNDS_CHG,INTDSRUSM193N_CHG,AAA_CHG
1/1/90,101.3114306,46.5,-0.3171,0,,0.2,,-0.22,0,0.13
2/1/90,101.3322706,-2.5,0.5619,-0.1,,-0.2,,0.01,0,0.23
3/1/90,101.3265493,26.7,0.3005,-0.1,,0.3,,0.04,0,0.15
4/1/90,101.2829005,15.1,-0.1146,0.2,,0.3,,-0.02,0,0.09
5/1/90,101.1933285,5.8,0.1627,0,,0.2,,-0.08,0,0.01
6/1/90,101.0516188,28.7,0.213,-0.2,,0,,0.11,0,-0.21
7/1/90,100.8551342,17.2,-0.0903,0.3,,0.1,,-0.14,0,-0.02
8/1/90,100.604495,26.6,0.2367,0.2,,0.2,,-0.02,0,0.17
9/1/90,100.3072406,21.8,0.0112,0.2,,0.7,,0.07,0,0.15
10/1/90,99.98533436,0.5,-0.3946,0,,0.7,,-0.09,0,-0.03
11/1/90,99.66656386,1.3,-0.7732,0.3,,0.2,,-0.3,0,-0.23
12/1/90,99.37798024,-10.6,-0.4239,0.1,,-0.3,,-0.5,-0.21,-0.25
1/1/91,99.13940359,-20.3,-0.2291,0.1,,0,,-0.4,-0.29,-0.01
2/1/91,98.96383452,25.7,-0.4369,0.2,,-0.4,,-0.66,-0.5,-0.21
3/1/91,98.85432172,46.3,-0.3402,0.2,,-0.7,,-0.13,0,0.1
4/1/91,98.7962902,-5.9,0.1751,-0.1,,-0.3,,-0.21,-0.02,-0.07
5/1/91,98.7694235,26.1,0.5968,0.2,,-0.5,,-0.13,-0.48,0
6/1/91,98.7556825,7.3,0.4824,0,,-0.2,,0.12,0,0.15
7/1/91,98.74502608,25.5,0.1669,-0.1,,-0.4,,-0.08,0,-0.01
8/1/91,98.73490247,3.1,0.0076,0.1,,-0.1,,-0.16,0,-0.25
9/1/91,98.72945479,15.6,0.5316,0,,0,,-0.21,-0.3,-0.14
10/1/91,98.73860529,-8.7,-0.0885,0.1,,0.2,,-0.24,-0.2,-0.06
11/1/91,98.77371248,27.6,-0.0862,0,,-0.1,,-0.4,-0.42,-0.07
12/1/91,98.84209555,16.9,-0.2711,0.3,,0,,-0.38,-0.47,-0.17
1/1/92,98.93956734,64.2,-0.3255,0,,-0.2,,-0.4,-0.61,-0.11
2/1/92,99.05698968,14.8,0.4423,0.1,298,0.2,,0.03,0,0.09
3/1/92,99.18455506,17.5,0.5056,0,-418,0,,-0.08,0,0.06
4/1/92,99.31447369,14.5,0.4758,0,1227,0.2,,-0.25,0,-0.02
5/1/92,99.44083313,26.9,0.2027,0.2,978,0.2,,0.09,0,-0.05
6/1/92,99.55911072,18.7,0.035,0.2,790,0.4,,-0.06,0,-0.06
7/1/92,99.6657547,27.7,0.5772,-0.1,961,0,,-0.51,-0.48,-0.15
8/1/92,99.75648824,16.1,-0.3478,-0.1,306,0.1,,0.05,-0.02,-0.12
9/1/92,99.82525856,34.4,0.1911,0,1521,0.1,,-0.08,0,-0.03
10/1/92,99.86414523,29.4,0.4526,-0.3,933,-0.2,,-0.12,0,0.07
