DATE,USSTHPI_CHG
1990-01-01,0.94
1990-04-01,0.68
1990-07-01,1.03
1990-10-01,-0.65
1991-01-01,1.37
1991-04-01,1.12
1991-07-01,0.32
1991-10-01,2.37
1992-01-01,1.32
1992-04-01,-0.03
1992-07-01,1.96
1992-10-01,0.88
1993-01-01,0.08
1993-04-01,1.68
1993-07-01,1.44
1993-10-01,1.47
1994-01-01,1.13
1994-04-01,1.08
1994-07-01,0.76
1994-10-01,-0.16
1995-01-01,0.96
1995-04-01,3.03
1995-07-01,2.88
1995-10-01,1.47
1996-01-01,2.14
1996-04-01,0.32
1996-07-01,0.87
1996-10-01,1.51
1997-01-01,1.64
1997-04-01,1.62
1997-07-01,2.72
1997-10-01,2.63
1998-01-01,3.08
1998-04-01,1.85
1998-07-01,2.94
1998-10-01,2.52
1999-01-01,2.26
1999-04-01,2.91
1999-07-01,3.14
1999-10-01,2.30
2000-01-01,4.32
2000-04-01,3.75
2000-07-01,4.26
2000-10-01,3.65
2001-01-01,5.98
2001-04-01,4.16
2001-07-01,3.91
2001-10-01,3.17
2002-01-01,3.72
2002-04-01,4.48
2002-07-01,5.30
2002-10-01,3.87
2003-01-01,3.37
2003-04-01,3.42
2003-07-01,4.37
2003-10-01,8.14
2004-01-01,4.66
2004-04-01,7.33
2004-07-01,11.75
2004-10-01,6.84
2005-01-01,7.49
2005-04-01,10.70
2005-07-01,10.44
2005-10-01,8.04
2006-01-01,5.75
2006-04-01,3.78
2006-07-01,3.06
2006-10-01,3.84
2007-01-01,1.42
2007-04-01,-0.24
2007-07-01,-4.26
2007-10-01,-1.20
2008-01-01,-2.74
2008-04-01,-9.39
2008-07-01,-11.44
2008-10-01,-3.22
2009-01-01,2.57
2009-04-01,-9.21
2009-07-01,-8.93
2009-10-01,-2.52
2010-01-01,-3.95
2010-04-01,-2.95
2010-07-01,3.14
2010-10-01,-2.33
2011-01-01,-8.98
2011-04-01,-5.53
2011-07-01,2.32
2011-10-01,1.43
2012-01-01,-3.28
2012-04-01,-1.39
2012-07-01,4.10
2012-10-01,2.45
2013-01-01,1.58
2013-04-01,4.86
2013-07-01,4.69
2013-10-01,2.62
2014-01-01,2.77
2014-04-01,6.41
2014-07-01,4.91
2014-10-01,2.79
2015-01-01,3.81
2015-04-01,5.70
2015-07-01,5.09
2015-10-01,2.93
2016-01-01,3.34
2016-04-01,6.91
2016-07-01,6.63
2016-10-01,3.01
2017-01-01,2.84
2017-04-01,8.66
2017-07-01,6.12
2017-10-01,3.36
2018-01-01,5.73
2018-04-01,7.54
2018-07-01,5.05
2018-10-01,1.49
2019-01-01,4.71
2019-04-01,7.14
2019-07-01,5.53
2019-10-01,3.91
2020-01-01,5.11
2020-04-01,4.48
2020-07-01,8.01
2020-10-01,10.17
2021-01-01,11.14
2021-04-01,26.71
2021-07-01,28.52
2021-10-01,18.15
