date,mktrf,smb,hml,rf,umd
19600104,-0.000300,0.006000,0.007000,0.00017,-0.007900
19600105,0.007800,-0.004100,0.005400,0.00017,-0.004700
19600106,-0.004700,0.001300,0.003800,0.00017,0.000700
19600107,-0.006500,0.003700,0.000900,0.00017,-0.002900
19600108,-0.003300,0.001800,0.001000,0.00017,-0.004300
19600111,-0.011500,0.004800,0.003200,0.00017,-0.001100
19600112,-0.005800,0.000100,0.004400,0.00017,-0.005100
19600113,-0.005300,0.003700,0.000500,0.00017,-0.000200
19600114,0.005600,-0.002000,0.001400,0.00017,-0.001200
19600115,0.000100,0.003800,0.001300,0.00017,0.001800
19600118,-0.008400,0.002200,-0.002300,0.00017,-0.002500
19600119,-0.010000,0.000100,0.002500,0.00017,-0.002700
19600120,-0.003000,0.001800,0.000800,0.00017,0.001400
19600121,0.002200,0.000300,0.002300,0.00017,0.001200
19600122,0.002800,0.000400,-0.002400,0.00017,-0.000800
19600125,-0.010500,-0.001400,-0.000900,0.00017,-0.002300
19600126,0.001500,-0.001800,0.001600,0.00017,-0.000600
19600127,-0.002800,-0.000200,0.001300,0.00017,-0.000400
19600128,-0.010000,0.004200,-0.001700,0.00017,-0.001600
19600129,-0.009700,-0.002800,-0.000700,0.00017,-0.006600
19600201,0.005000,-0.005100,-0.002200,0.00014,0.000700
19600202,0.015400,-0.001700,-0.004400,0.00014,0.011200
19600203,-0.008300,0.003100,-0.000200,0.00014,0.000900
19600204,-0.000800,-0.000800,0.001900,0.00014,0.000400
19600205,-0.004900,-0.003000,-0.000200,0.00014,-0.001800
19600208,-0.010100,0.000700,-0.000500,0.00014,-0.002300
19600209,0.008900,-0.001100,-0.000500,0.00014,0.000300
19600210,-0.005700,0.003600,0.000900,0.00014,0.000400
19600211,-0.005100,0.002500,0.003900,0.00014,-0.001200
19600212,0.004500,-0.003700,0.001700,0.00014,0.001200
19600215,-0.005000,0.002400,0.001100,0.00014,-0.001300
19600216,-0.008800,-0.002400,-0.002200,0.00014,-0.000700
19600217,0.006300,0.000500,-0.002400,0.00014,-0.001800
19600218,0.013700,0.000800,-0.004900,0.00014,-0.000900
19600219,0.007200,-0.000900,0.001400,0.00014,0.002600
19600223,-0.005000,0.004300,-0.002000,0.00014,0.004900
19600224,-0.002900,0.002700,-0.001800,0.00014,0.003200
19600225,0.004500,0.000400,0.001400,0.00014,0.004100
19600226,0.004200,0.001900,-0.005300,0.00014,0.002900
19600229,-0.000800,0.000800,-0.004900,0.00014,0.002000
19600301,-0.001500,0.001300,-0.002200,0.00015,0.001100
19600302,-0.007100,-0.000500,-0.001500,0.00015,-0.001100
19600303,-0.015400,-0.000600,-0.003300,0.00015,-0.002500
19600304,-0.003900,-0.004800,-0.005800,0.00015,-0.001000
19600307,-0.011000,0.001600,-0.001400,0.00015,0.000400
19600308,-0.009400,-0.002600,-0.001500,0.00015,-0.001200
19600309,0.011000,-0.001500,0.003200,0.00015,0.004000
19600310,-0.003400,0.005200,0.003100,0.00015,0.000000
19600311,0.007300,0.001000,-0.000400,0.00015,-0.001100
19600314,0.001800,0.000400,-0.001300,0.00015,0.004100
19600315,0.007800,-0.003000,0.000500,0.00015,-0.000100
19600316,0.005200,0.001000,0.000400,0.00015,-0.002400
19600317,-0.001800,0.002100,-0.002800,0.00015,0.000100
19600318,0.000600,0.000800,-0.002500,0.00015,0.000700
19600321,0.000900,-0.002900,-0.002300,0.00015,-0.000200
19600322,0.003600,-0.004400,-0.000300,0.00015,0.004100
19600323,0.007600,-0.003200,-0.002500,0.00015,-0.002500
19600324,0.004100,-0.001200,0.004100,0.00015,0.000100
19600325,0.000000,0.001200,-0.003000,0.00015,0.000700
19600328,-0.002400,-0.000200,-0.000100,0.00015,0.002000
19600329,-0.002000,0.002600,-0.004200,0.00015,0.002800
19600330,-0.001600,0.003100,-0.003900,0.00015,0.005100
19600331,-0.006300,-0.000200,-0.002300,0.00015,0.001700
19600401,0.002000,-0.001000,-0.001800,0.00010,-0.000100
19600404,0.001800,-0.001200,-0.003700,0.00010,0.002200
19600405,0.005400,-0.003800,-0.002100,0.00010,0.003500
19600406,0.010100,-0.004100,-0.000700,0.00010,-0.002100
19600407,0.000700,0.001900,-0.000500,0.00010,0.000500
19600408,-0.002100,0.000900,0.002500,0.00010,-0.000300
19600411,-0.003900,-0.000400,0.001000,0.00010,0.001900
19600412,0.002200,-0.001500,-0.001000,0.00010,-0.000300
19600413,-0.000300,0.002200,-0.004400,0.00010,0.002700
19600414,0.002600,0.000900,-0.002500,0.00010,0.006000
19600418,0.002300,-0.001800,-0.002800,0.00010,0.005500
19600419,-0.007400,0.000600,0.000500,0.00010,0.003200
19600420,-0.011700,0.004900,0.001500,0.00010,-0.003200
19600421,0.003400,-0.000200,-0.002300,0.00010,-0.000300
19600422,-0.002700,0.003400,-0.001100,0.00010,0.004100
19600425,-0.010200,0.001700,-0.000700,0.00010,0.000800
19600426,0.003600,-0.000200,-0.004500,0.00010,0.003700
19600427,-0.000300,-0.000700,-0.000200,0.00010,0.002200
19600428,-0.008600,-0.000800,0.000200,0.00010,-0.001000
19600429,-0.003500,0.002300,-0.001000,0.00010,0.002300
19600502,-0.005100,-0.001800,-0.004200,0.00013,0.000400
19600503,0.013600,-0.005300,-0.001300,0.00013,-0.001400
19600504,0.004100,-0.000700,-0.000700,0.00013,0.001600
19600505,-0.003300,0.001500,-0.002300,0.00013,0.004600
19600506,-0.001200,0.003700,-0.001500,0.00013,0.000000
19600509,0.001100,0.001700,-0.005900,0.00013,0.001500
19600510,-0.005800,0.002300,-0.004500,0.00013,0.006000
19600511,0.002300,-0.003300,0.000900,0.00013,0.001000
19600512,0.005400,0.003800,0.000400,0.00013,0.000200
19600513,0.008900,0.001500,0.002000,0.00013,-0.001200
19600516,-0.000800,0.002700,-0.004300,0.00013,0.000400
19600517,0.003700,-0.001800,0.000300,0.00013,-0.005400
19600518,0.000200,-0.004400,-0.000800,0.00013,-0.004300
19600519,0.004300,-0.000600,0.001100,0.00013,-0.005200
19600520,0.002000,-0.001500,0.006800,0.00013,0.003100
19600523,-0.000800,0.000200,0.002400,0.00013,0.004500
19600524,-0.000600,0.005000,-0.004500,0.00013,0.008300
19600525,-0.000400,0.005500,-0.005700,0.00013,0.011800
19600526,0.000800,0.001400,-0.006300,0.00013,0.009300
19600527,0.000700,0.000800,0.001200,0.00013,0.007400
19600531,0.001600,0.001100,-0.009200,0.00013,0.009000
19600601,0.001600,-0.001800,-0.004200,0.00011,0.008600
19600602,0.003600,-0.006500,0.004900,0.00011,-0.002700
19600603,0.001900,-0.002500,0.003200,0.00011,-0.004000
19600606,0.011200,-0.007700,0.006300,0.00011,-0.013500
19600607,0.009600,-0.002900,-0.001000,0.00011,-0.007700
19600608,0.007500,0.001300,0.001000,0.00011,-0.000600
19600609,0.001100,-0.000900,-0.000700,0.00011,0.003700
19600610,0.000600,-0.000100,-0.000900,0.00011,0.002400
19600613,0.000600,0.000300,0.000200,0.00011,0.005400
19600614,-0.000100,0.000400,-0.005500,0.00011,0.009400
19600615,-0.005400,0.004800,-0.001200,0.00011,0.004500
19600616,-0.001000,0.003100,-0.003400,0.00011,0.001700
19600617,-0.001000,0.002000,-0.001700,0.00011,0.000100
19600620,-0.003800,0.003800,-0.001600,0.00011,-0.002000
19600621,-0.001000,-0.003300,0.003000,0.00011,-0.002400
19600622,0.002100,-0.001600,0.007200,0.00011,-0.004000
19600623,0.004600,-0.002100,0.001500,0.00011,-0.000700
19600624,0.001500,-0.000300,0.000200,0.00011,0.000500
19600627,-0.005600,0.005200,-0.003900,0.00011,0.007400
19600628,-0.007000,0.002800,-0.003500,0.00011,0.003800
19600629,0.000400,0.001100,-0.003200,0.00011,-0.001300
19600630,-0.000600,0.001900,-0.000700,0.00011,0.002800
19600701,0.002400,0.002700,-0.001400,0.00007,0.001800
19600705,-0.001100,-0.001400,0.000500,0.00007,0.001400
19600706,-0.001600,-0.003700,0.003600,0.00007,-0.001800
19600707,0.005300,0.000200,0.000100,0.00007,-0.001700
19600708,0.002600,-0.001200,0.002400,0.00007,-0.000100
19600711,-0.008900,0.002100,0.001100,0.00007,-0.001900
19600712,-0.010700,-0.000800,0.007400,0.00007,-0.002400
19600713,-0.002600,0.000600,0.004300,0.00007,-0.001600
19600714,0.000100,-0.000600,-0.003300,0.00007,0.002200
19600715,-0.000500,0.000900,0.002600,0.00007,0.003100
19600718,-0.006200,-0.002400,0.004800,0.00007,-0.003300
19600719,0.000200,-0.000500,0.001000,0.00007,-0.000800
19600720,-0.001500,0.004200,-0.001900,0.00007,-0.000200
19600721,-0.008700,0.003300,0.000600,0.00007,0.001200
19600722,-0.006900,-0.002300,0.003700,0.00007,-0.001500
19600725,-0.011100,-0.001200,-0.002000,0.00007,-0.003100
19600726,0.007000,-0.001600,-0.002100,0.00007,0.004000
19600727,-0.006600,-0.001900,0.001600,0.00007,0.000100
19600728,0.008100,-0.000700,0.002200,0.00007,-0.001800
19600729,0.017400,-0.000900,-0.004300,0.00007,0.004400
19600801,-0.000500,-0.000400,-0.000700,0.00007,0.001500
19600802,-0.008200,0.000400,0.002100,0.00007,0.000100
19600803,-0.005300,0.002600,-0.000200,0.00007,0.002600
19600804,0.003100,-0.003100,-0.000800,0.00007,0.002000
19600805,0.010400,-0.001100,0.000600,0.00007,0.000300
19600808,0.001900,0.000300,0.001400,0.00007,-0.001400
19600809,0.005600,-0.004300,0.005400,0.00007,-0.003000
19600810,0.004200,0.001400,0.000800,0.00007,0.000400
19600811,0.004100,0.003000,-0.001700,0.00007,0.002400
19600812,0.006800,0.001700,-0.000800,0.00007,-0.004400
19600815,-0.000200,-0.000700,0.001100,0.00007,0.001600
19600816,0.002400,0.002900,-0.002300,0.00007,0.003400
19600817,0.003000,0.001500,-0.002600,0.00007,0.003400
19600818,-0.000100,0.000000,-0.000800,0.00007,0.000400
19600819,0.003200,-0.002700,0.001000,0.00007,0.000500
19600822,0.002800,-0.001300,0.000000,0.00007,-0.000700
19600823,0.009100,-0.004100,0.002600,0.00007,-0.006600
19600824,0.005000,-0.001600,0.000400,0.00007,-0.005700
19600825,-0.004300,0.002700,0.001900,0.00007,0.005300
19600826,-0.002900,0.004000,-0.000800,0.00007,0.002900
19600829,-0.002300,0.000600,-0.000900,0.00007,0.008400
19600830,-0.010200,0.006600,-0.005500,0.00007,0.004900
19600831,0.002200,0.000400,-0.001600,0.00007,0.002100
19600901,0.002200,0.001300,-0.002300,0.00008,0.008600
19600902,-0.001000,0.000900,0.001000,0.00008,-0.001100
19600906,-0.009000,-0.001100,0.000900,0.00008,-0.000300
