dateff,mktrf,smb,hml,rf,umd
19600129,-0.069800,0.020900,0.027800,0.00330,-0.035400
19600229,0.011700,0.005100,-0.019300,0.00290,0.039200
19600331,-0.016300,-0.004900,-0.029400,0.00350,0.013800
19600429,-0.017100,0.003200,-0.022800,0.00190,0.028400
19600531,0.031200,0.012100,-0.037000,0.00270,0.047900
19600630,0.020800,-0.002100,-0.003400,0.00240,0.008600
19600729,-0.023700,-0.005100,0.019800,0.00130,-0.008100
19600831,0.030100,0.008700,-0.001800,0.00170,0.019100
19600930,-0.059900,-0.011100,0.016200,0.00160,0.003200
19601031,-0.007100,-0.040800,0.028300,0.00220,0.012500
19601130,0.046900,0.004000,-0.024300,0.00130,0.037800
19601230,0.047100,-0.015500,-0.008100,0.00160,0.014100
19610131,0.062000,0.006400,0.037200,0.00190,-0.040000
19610228,0.035700,0.039300,-0.006600,0.00140,0.009800
19610330,0.028900,0.033000,-0.007300,0.00200,0.045400
19610428,0.002900,0.000700,0.021200,0.00170,0.036000
19610531,0.024000,0.020100,0.003700,0.00180,-0.015700
19610630,-0.030800,-0.024900,-0.001400,0.00200,0.003300
19610731,0.028300,-0.019000,-0.000900,0.00180,0.002700
19610831,0.025700,-0.017500,-0.002800,0.00140,0.015900
19610929,-0.021500,-0.010700,-0.006100,0.00170,0.008200
19611031,0.025700,-0.016500,0.001500,0.00190,0.031100
19611130,0.044500,0.012600,-0.012300,0.00150,0.013500
19611229,-0.001800,-0.008500,0.017900,0.00190,-0.022100
19620131,-0.038700,0.017700,0.051300,0.00240,-0.020300
19620228,0.018100,-0.011500,0.008200,0.00200,-0.010100
19620330,-0.006800,0.005200,-0.013800,0.00200,0.018400
19620430,-0.065900,-0.007000,0.000300,0.00220,0.029100
19620531,-0.086500,-0.033400,0.027700,0.00240,0.004100
19620629,-0.084700,-0.005900,0.025500,0.00200,0.064600
19620731,0.062800,0.015200,-0.034100,0.00270,0.005200
19620831,0.021300,0.012200,-0.012000,0.00230,-0.006000
19620928,-0.052200,-0.024200,0.012800,0.00210,0.039500
19621031,-0.000500,-0.039700,0.013000,0.00250,0.007600
19621130,0.108700,0.026100,0.009500,0.00200,-0.071600
19621231,0.010100,-0.038000,0.003600,0.00230,0.058900
19630131,0.049300,0.030800,0.022100,0.00250,-0.021100
19630228,-0.023800,0.004800,0.021800,0.00230,0.025300
19630329,0.030800,-0.025900,0.020600,0.00230,0.016200
19630430,0.045100,-0.013400,0.010000,0.00250,-0.000900
19630531,0.017600,0.011300,0.025400,0.00240,0.003300
19630628,-0.020000,-0.002700,0.007500,0.00230,0.012100
19630731,-0.003900,-0.004500,-0.009700,0.00270,0.009000
19630830,0.050700,-0.009800,0.018000,0.00250,0.010100
19630930,-0.015700,-0.003300,0.001300,0.00270,0.001900
19631031,0.025300,-0.005800,-0.001000,0.00290,0.031200
19631129,-0.008500,-0.011700,0.017500,0.00270,-0.007400
19631231,0.018300,-0.021600,-0.000200,0.00290,0.017500
19640131,0.022400,-0.001100,0.014800,0.00300,0.008600
19640228,0.015400,0.001100,0.028100,0.00260,0.002600
19640331,0.014100,0.008700,0.034000,0.00310,0.007500
19640430,0.001000,-0.013500,-0.006700,0.00290,-0.005800
19640528,0.014200,-0.008600,0.018600,0.00260,0.025700
19640630,0.012700,-0.001200,0.006200,0.00300,0.004600
19640731,0.017400,0.002400,0.007500,0.00300,-0.003500
19640831,-0.014400,0.001600,0.000800,0.00280,-0.002200
19640930,0.026900,-0.005400,0.017000,0.00280,-0.004100
19641030,0.005900,0.004200,0.011700,0.00290,0.000800
19641130,0.000000,0.006900,-0.019600,0.00290,0.010300
19641231,0.000300,-0.003500,-0.024800,0.00310,-0.007400
19650129,0.035400,0.027000,0.001200,0.00280,-0.014400
19650226,0.004400,0.035500,0.001100,0.00300,0.003200
19650331,-0.013400,0.018900,0.010300,0.00360,0.001500
19650430,0.031100,0.011000,0.006600,0.00310,0.026300
19650528,-0.007700,0.001100,-0.016100,0.00310,0.006000
19650630,-0.055100,-0.043400,0.005900,0.00350,-0.031300
19650730,0.014300,0.008900,0.022000,0.00310,0.041000
19650831,0.027300,0.028400,-0.010000,0.00330,0.025800
19650930,0.028600,0.006400,-0.001300,0.00310,0.033000
19651029,0.026000,0.025200,0.015600,0.00310,0.034600
19651130,-0.000300,0.046800,0.001500,0.00350,0.044500
19651231,0.010100,0.020600,0.020300,0.00330,0.001200
19660131,0.007200,0.038400,0.035600,0.00380,0.053900
